sample_id,probe_id,cloud_region,rtt_ms,one_way_delay_ms,min_cloud_region,min_rtt_ms
0,50000,Milan-MIL01.csv,65.24727115383108,32.62363557691554,Frankfurt-FRA01.csv,37.513834628476765
1,50001,Milan-MIL01.csv,23.521466234883064,11.760733117441532,Milan-MIL01.csv,23.521466234883064
2,50002,Milan-MIL01.csv,53.917876744359944,26.958938372179972,Amsterdam-AMS03.csv,45.900066969756956
3,50003,Milan-MIL01.csv,122.4790356104119,61.23951780520595,Amsterdam-AMS03.csv,32.30313840682369
4,50004,Milan-MIL01.csv,27.96043773214741,13.980218866073704,Milan-MIL01.csv,27.96043773214741
5,50005,Milan-MIL01.csv,72.02393500542765,36.01196750271382,Amsterdam-AMS03.csv,28.483207879560233
6,50006,Milan-MIL01.csv,42.13749375091078,21.06874687545539,Milan-MIL01.csv,42.13749375091078
7,50007,Milan-MIL01.csv,112.35451903170876,56.17725951585438,Amsterdam-AMS03.csv,32.60666712053155
8,50008,Milan-MIL01.csv,45.04651694900582,22.52325847450291,Amsterdam-AMS03.csv,29.99406984607372
9,50009,Milan-MIL01.csv,41.84861178410268,20.92430589205134,Milan-MIL01.csv,41.84861178410268
10,50010,Milan-MIL01.csv,118.55891066320925,59.27945533160462,Amsterdam-AMS03.csv,49.21661876692333
11,50011,Milan-MIL01.csv,99.55153894639376,49.77576947319688,Amsterdam-AMS03.csv,30.162704236128643
12,50012,Milan-MIL01.csv,47.34069361393363,23.670346806966815,Frankfurt-FRA01.csv,27.66386190529671
13,50013,Milan-MIL01.csv,22.416734143733773,11.208367071866887,Milan-MIL01.csv,22.416734143733773
14,50014,Milan-MIL01.csv,26.032446749234627,13.016223374617313,Milan-MIL01.csv,26.032446749234627
15,50015,Milan-MIL01.csv,68.21499996898707,34.107499984493536,Frankfurt-FRA01.csv,34.148319584476944
16,50016,Milan-MIL01.csv,68.86951870343981,34.434759351719904,Frankfurt-FRA01.csv,31.761595115338835
17,50017,Milan-MIL01.csv,28.870474367716277,14.435237183858138,Milan-MIL01.csv,28.870474367716277
18,50018,Milan-MIL01.csv,98.31599588489816,49.15799794244908,Frankfurt-FRA01.csv,55.93899359427745
19,50019,Milan-MIL01.csv,71.03092587894669,35.515462939473345,Amsterdam-AMS03.csv,44.82403281104639
20,50020,Milan-MIL01.csv,43.69857557169854,21.84928778584927,Milan-MIL01.csv,43.69857557169854
21,50021,Milan-MIL01.csv,52.1487940283378,26.0743970141689,Frankfurt-FRA01.csv,44.36226168915981
22,50022,Milan-MIL01.csv,60.53577398556842,30.26788699278421,Amsterdam-AMS03.csv,46.984416906987356
23,50023,Milan-MIL01.csv,42.44967031557336,21.22483515778668,Milan-MIL01.csv,42.44967031557336
24,50024,Milan-MIL01.csv,76.30073350267023,38.15036675133511,Amsterdam-AMS03.csv,26.47774170404508
25,50025,Milan-MIL01.csv,51.296492992655736,25.648246496327868,Frankfurt-FRA01.csv,43.26325941604062
26,50026,Milan-MIL01.csv,51.5916994610898,25.7958497305449,Amsterdam-AMS03.csv,40.4661716534734
27,50027,Milan-MIL01.csv,84.85306751788806,42.42653375894403,Amsterdam-AMS03.csv,37.919520752265164
28,50028,Milan-MIL01.csv,68.35468739108282,34.17734369554141,Frankfurt-FRA01.csv,46.51102452779409
29,50029,Milan-MIL01.csv,28.01402825882194,14.00701412941097,Milan-MIL01.csv,28.01402825882194
30,50030,Milan-MIL01.csv,55.58169058620364,27.79084529310182,Frankfurt-FRA01.csv,38.35456743742739
31,50031,Milan-MIL01.csv,34.01271267325652,17.00635633662826,Amsterdam-AMS03.csv,29.08775936619193
32,50032,Milan-MIL01.csv,59.90637727074041,29.953188635370203,Frankfurt-FRA01.csv,38.87175159993764
33,50033,Milan-MIL01.csv,67.82891631222269,33.914458156111344,Amsterdam-AMS03.csv,35.172518774571984
34,50034,Milan-MIL01.csv,29.486252923811684,14.743126461905842,Milan-MIL01.csv,29.486252923811684
35,50035,Milan-MIL01.csv,86.69092652410063,43.345463262050316,Amsterdam-AMS03.csv,30.65188212153347
36,50036,Milan-MIL01.csv,126.68534482728676,63.34267241364338,Frankfurt-FRA01.csv,27.384307679278027
37,50037,Milan-MIL01.csv,66.24364243641557,33.121821218207785,Amsterdam-AMS03.csv,48.60599561210098
38,50038,Milan-MIL01.csv,32.92692013178702,16.46346006589351,Milan-MIL01.csv,32.92692013178702
39,50039,Milan-MIL01.csv,51.483835271246335,25.741917635623167,Frankfurt-FRA01.csv,34.49605725261183
40,50040,Milan-MIL01.csv,63.61167102161678,31.80583551080839,Frankfurt-FRA01.csv,34.62677278632824
41,50041,Milan-MIL01.csv,69.2690869996662,34.6345434998331,Frankfurt-FRA01.csv,53.1721493424756
42,50042,Milan-MIL01.csv,71.45783288547976,35.72891644273988,Amsterdam-AMS03.csv,26.950212266454457
43,50043,Milan-MIL01.csv,39.841124377792944,19.920562188896472,Milan-MIL01.csv,39.841124377792944
44,50044,Milan-MIL01.csv,44.1283303540424,22.0641651770212,Frankfurt-FRA01.csv,36.88549898632626
45,50045,Milan-MIL01.csv,77.8913083658042,38.9456541829021,Frankfurt-FRA01.csv,57.951983778267554
46,50046,Milan-MIL01.csv,216.26703191868626,108.13351595934313,Frankfurt-FRA01.csv,43.58283049233826
47,50047,Milan-MIL01.csv,63.4519298646737,31.72596493233685,Frankfurt-FRA01.csv,39.0960443853839
